Disease,Symptoms,symptoms_list,symptom_count,symptoms_text,disease_encoded,has_respiratory_symptoms,has_cardiovascular_symptoms,has_gastrointestinal_symptoms,has_genitourinary_symptoms,has_neurological_symptoms,has_dermatological_symptoms,has_musculoskeletal_symptoms,has_endocrine_symptoms,has_severe_indicators,has_mild_indicators,has_chronic_indicators,symptom_diversity,is_augmented,augmentation_type,original_index,is_partial,partial_factor,is_noisy
Systemic Lupus Erythematosus (Lupus),tiredness; joint pain and swelling; photosensitivity; fever; mouth ulcers; kidney involvement; chest pain from pleurisy,"['tiredness', 'joint pain and swelling', 'photosensitivity', 'fever', 'mouth ulcers', 'kidney involvement', 'chest pain from pleurisy']",7,tiredness joint pain and swelling photosensitivity fever mouth ulcers kidney involvement chest pain from pleurisy,42,1,1,0,1,0,1,1,0,0,0,0,5,True,symptom_variation,46.0,,,
Systemic Lupus Erythematosus (Lupus),weight changes; photosensitivity; chest pain from pleurisy; mouth ulcers; fatigue; pyrexia; joint pain and swelling; kidney involvement; butterfly rash on face,"['weight changes', 'photosensitivity', 'chest pain from pleurisy', 'mouth ulcers', 'fatigue', 'pyrexia', 'joint pain and swelling', 'kidney involvement', 'butterfly rash on face']",9,weight changes photosensitivity chest pain from pleurisy mouth ulcers fatigue pyrexia joint pain and swelling kidney involvement butterfly rash on face,42,1,1,0,1,0,1,1,1,0,0,0,6,True,symptom_variation,46.0,,,
Osteoporosis,often asymptomatic until fracture; back pain from vertebral fractures; loss of height; stooped posture; increased risk of wrist hip vertebral fractures,"['often asymptomatic until fracture', 'back pain from vertebral fractures', 'loss of height', 'stooped posture', 'increased risk of wrist hip vertebral fractures']",5,often asymptomatic until fracture back pain from vertebral fractures loss of height stooped posture increased risk of wrist hip vertebral fractures,31,0,0,0,0,0,0,1,0,0,0,0,1,True,symptom_variation,47.0,,,
Osteoporosis,often asymptomatic until fracture; back pain from vertebral fractures; loss of height; increased risk of wrist hip vertebral fractures,"['often asymptomatic until fracture', 'back pain from vertebral fractures', 'loss of height', 'increased risk of wrist hip vertebral fractures']",4,often asymptomatic until fracture back pain from vertebral fractures loss of height increased risk of wrist hip vertebral fractures,31,0,0,0,0,0,0,1,0,0,0,0,1,True,symptom_variation,47.0,,,
Osteoporosis,stooped posture; loss of height; back pain from vertebral fractures; often asymptomatic until fracture; increased risk of wrist hip vertebral fractures,"['stooped posture', 'loss of height', 'back pain from vertebral fractures', 'often asymptomatic until fracture', 'increased risk of wrist hip vertebral fractures']",5,stooped posture loss of height back pain from vertebral fractures often asymptomatic until fracture increased risk of wrist hip vertebral fractures,31,0,0,0,0,0,0,1,0,0,0,0,1,True,symptom_variation,47.0,,,
Chronic Kidney Disease (CKD),fatigue; swelling  edema  in legs ankles; decreased urine output or changes in urination; feeling sick; poor appetite; itching; electrolyte imbalances; swelling in legs,"['fatigue', 'swelling  edema  in legs ankles', 'decreased urine output or changes in urination', 'feeling sick', 'poor appetite', 'itching', 'electrolyte imbalances', 'swelling in legs']",8,fatigue swelling  edema  in legs ankles decreased urine output or changes in urination feeling sick poor appetite itching electrolyte imbalances swelling in legs,7,0,0,1,1,0,1,0,1,0,0,0,4,True,symptom_variation,48.0,,,
Chronic Kidney Disease (CKD),weakness; swelling  edema  in legs ankles; decreased urine output or changes in urination; feeling sick; anorexia; itching; electrolyte imbalances,"['weakness', 'swelling  edema  in legs ankles', 'decreased urine output or changes in urination', 'feeling sick', 'anorexia', 'itching', 'electrolyte imbalances']",7,weakness swelling  edema  in legs ankles decreased urine output or changes in urination feeling sick anorexia itching electrolyte imbalances,7,0,0,0,1,1,1,0,1,0,0,0,4,True,symptom_variation,48.0,,,
Chronic Kidney Disease (CKD),fatigue; swelling  edema  in legs ankles; decreased urine output or changes in urination; feeling sick; loss of appetite; itching; electrolyte imbalances,"['fatigue', 'swelling  edema  in legs ankles', 'decreased urine output or changes in urination', 'feeling sick', 'loss of appetite', 'itching', 'electrolyte imbalances']",7,fatigue swelling  edema  in legs ankles decreased urine output or changes in urination feeling sick loss of appetite itching electrolyte imbalances,7,0,0,1,1,0,1,0,1,0,0,0,4,True,symptom_variation,48.0,,,
Common Cold,mild headache; mild cough; fatigue; low grade fever,"['mild headache', 'mild cough', 'fatigue', 'low grade fever']",4,mild headache mild cough fatigue low grade fever,8,1,0,0,0,1,0,0,1,0,1,0,3,True,partial_symptoms,0.0,True,0.6,
Common Cold,fatigue; throat pain; sneezing; low grade fever,"['fatigue', 'throat pain', 'sneezing', 'low grade fever']",4,fatigue throat pain sneezing low grade fever,8,1,0,0,0,0,0,0,1,0,0,0,2,True,partial_symptoms,0.0,True,0.7,
Common Cold,mild cough; runny or nasal congestion; sneezing; mild headache; throat pain,"['mild cough', 'runny or nasal congestion', 'sneezing', 'mild headache', 'throat pain']",5,mild cough runny or nasal congestion sneezing mild headache throat pain,8,1,0,0,0,1,0,0,0,0,1,0,2,True,partial_symptoms,0.0,True,0.8,
Influenza (Flu),sometimes vomiting diarrhea  more in children; high fever; dry cough; profound fatigue,"['sometimes vomiting diarrhea  more in children', 'high fever', 'dry cough', 'profound fatigue']",4,sometimes vomiting diarrhea  more in children high fever dry cough profound fatigue,23,1,0,1,0,0,0,0,1,1,0,0,3,True,partial_symptoms,1.0,True,0.6,
Influenza (Flu),sometimes vomiting diarrhea  more in children; severe body aches; dry cough; profound fatigue; chills,"['sometimes vomiting diarrhea  more in children', 'severe body aches', 'dry cough', 'profound fatigue', 'chills']",5,sometimes vomiting diarrhea  more in children severe body aches dry cough profound fatigue chills,23,1,0,1,0,0,0,0,1,1,0,0,3,True,partial_symptoms,1.0,True,0.7,
Influenza (Flu),chills; headache; sometimes vomiting diarrhea  more in children; dry cough; high fever; throat pain,"['chills', 'headache', 'sometimes vomiting diarrhea  more in children', 'dry cough', 'high fever', 'throat pain']",6,chills headache sometimes vomiting diarrhea  more in children dry cough high fever throat pain,23,1,0,1,0,1,0,0,0,1,0,0,3,True,partial_symptoms,1.0,True,0.8,
Pneumonia,shortness of breath; high fever; productive cough with phlegm; sweating,"['shortness of breath', 'high fever', 'productive cough with phlegm', 'sweating']",4,shortness of breath high fever productive cough with phlegm sweating,35,1,0,0,0,0,0,0,0,1,0,0,1,True,partial_symptoms,2.0,True,0.6,
Pneumonia,high fever; shortness of breath; chest pain when breathing or coughing; productive cough with phlegm,"['high fever', 'shortness of breath', 'chest pain when breathing or coughing', 'productive cough with phlegm']",4,high fever shortness of breath chest pain when breathing or coughing productive cough with phlegm,35,1,1,0,0,0,0,0,0,1,0,0,2,True,partial_symptoms,2.0,True,0.7,
Pneumonia,chest pain when breathing or coughing; productive cough with phlegm; shortness of breath; sweating; fatigue,"['chest pain when breathing or coughing', 'productive cough with phlegm', 'shortness of breath', 'sweating', 'fatigue']",5,chest pain when breathing or coughing productive cough with phlegm shortness of breath sweating fatigue,35,1,1,0,0,0,0,0,1,0,0,0,3,True,partial_symptoms,2.0,True,0.8,
Bronchitis,shortness of breath; persistent cough  may produce mucus; wheezing,"['shortness of breath', 'persistent cough  may produce mucus', 'wheezing']",3,shortness of breath persistent cough  may produce mucus wheezing,4,1,0,0,0,0,0,0,0,0,0,1,1,True,partial_symptoms,3.0,True,0.6,
Bronchitis,shortness of breath; fatigue; persistent cough  may produce mucus; chest discomfort,"['shortness of breath', 'fatigue', 'persistent cough  may produce mucus', 'chest discomfort']",4,shortness of breath fatigue persistent cough  may produce mucus chest discomfort,4,1,0,0,0,0,0,0,1,0,0,1,2,True,partial_symptoms,3.0,True,0.7,
Bronchitis,chest discomfort; wheezing; shortness of breath; persistent cough  may produce mucus,"['chest discomfort', 'wheezing', 'shortness of breath', 'persistent cough  may produce mucus']",4,chest discomfort wheezing shortness of breath persistent cough  may produce mucus,4,1,0,0,0,0,0,0,0,0,0,1,1,True,partial_symptoms,3.0,True,0.8,
Asthma,shortness of breath; triggers  allergens  exercise; chest tightness,"['shortness of breath', 'triggers  allergens  exercise', 'chest tightness']",3,shortness of breath triggers  allergens  exercise chest tightness,2,1,0,0,0,0,0,0,0,0,0,0,1,True,partial_symptoms,4.0,True,0.6,
Asthma,triggers  allergens  exercise; shortness of breath; recurrent wheeze,"['triggers  allergens  exercise', 'shortness of breath', 'recurrent wheeze']",3,triggers  allergens  exercise shortness of breath recurrent wheeze,2,1,0,0,0,0,0,0,0,0,0,1,1,True,partial_symptoms,4.0,True,0.7,
Asthma,recurrent wheeze; shortness of breath; triggers  allergens  exercise; coughing  worse at night early morning,"['recurrent wheeze', 'shortness of breath', 'triggers  allergens  exercise', 'coughing  worse at night early morning']",4,recurrent wheeze shortness of breath triggers  allergens  exercise coughing  worse at night early morning,2,1,0,0,0,0,0,0,0,0,0,1,1,True,partial_symptoms,4.0,True,0.8,
Allergic Rhinitis (Hay Fever),itchy  watery eyes; post nasal drip; itchy throat,"['itchy  watery eyes', 'post nasal drip', 'itchy throat']",3,itchy  watery eyes post nasal drip itchy throat,0,1,0,0,0,0,0,0,0,0,0,0,1,True,partial_symptoms,5.0,True,0.6,
Allergic Rhinitis (Hay Fever),post nasal drip; seasonal or perennial pattern; itchy throat; sneezing,"['post nasal drip', 'seasonal or perennial pattern', 'itchy throat', 'sneezing']",4,post nasal drip seasonal or perennial pattern itchy throat sneezing,0,1,0,0,0,0,0,0,0,0,0,0,1,True,partial_symptoms,5.0,True,0.7,
Allergic Rhinitis (Hay Fever),seasonal or perennial pattern; itchy throat; sneezing; runny or congested nose,"['seasonal or perennial pattern', 'itchy throat', 'sneezing', 'runny or congested nose']",4,seasonal or perennial pattern itchy throat sneezing runny or congested nose,0,1,0,0,0,0,0,0,0,0,0,0,1,True,partial_symptoms,5.0,True,0.8,
Sinusitis,cough; dental pain; headache; reduced sense of smell,"['cough', 'dental pain', 'headache', 'reduced sense of smell']",4,cough dental pain headache reduced sense of smell,38,1,0,0,0,1,0,0,0,0,0,0,2,True,partial_symptoms,6.0,True,0.6,
Sinusitis,reduced sense of smell; nasal congestion; dental pain; facial pain pressure,"['reduced sense of smell', 'nasal congestion', 'dental pain', 'facial pain pressure']",4,reduced sense of smell nasal congestion dental pain facial pain pressure,38,1,0,0,0,0,0,0,0,0,0,0,1,True,partial_symptoms,6.0,True,0.7,
Sinusitis,reduced sense of smell; headache; facial pain pressure; cough; nasal congestion,"['reduced sense of smell', 'headache', 'facial pain pressure', 'cough', 'nasal congestion']",5,reduced sense of smell headache facial pain pressure cough nasal congestion,38,1,0,0,0,1,0,0,0,0,0,0,2,True,partial_symptoms,6.0,True,0.8,
Strep Throat,white patches on tonsils; fever; sudden severe throat pain,"['white patches on tonsils', 'fever', 'sudden severe throat pain']",3,white patches on tonsils fever sudden severe throat pain,39,1,0,0,0,0,0,0,0,1,0,0,1,True,partial_symptoms,7.0,True,0.6,
Strep Throat,pain on swallowing; swollen tender lymph nodes in neck; fever; absent cough,"['pain on swallowing', 'swollen tender lymph nodes in neck', 'fever', 'absent cough']",4,pain on swallowing swollen tender lymph nodes in neck fever absent cough,39,1,0,0,0,0,0,1,0,0,0,0,2,True,partial_symptoms,7.0,True,0.7,
Strep Throat,white patches on tonsils; swollen tender lymph nodes in neck; absent cough; sudden severe throat pain,"['white patches on tonsils', 'swollen tender lymph nodes in neck', 'absent cough', 'sudden severe throat pain']",4,white patches on tonsils swollen tender lymph nodes in neck absent cough sudden severe throat pain,39,1,0,0,0,0,0,1,0,1,0,0,2,True,partial_symptoms,7.0,True,0.8,
Tonsillitis,swollen enlarged tonsils often with white or yellow patches; fever; bad breath,"['swollen enlarged tonsils often with white or yellow patches', 'fever', 'bad breath']",3,swollen enlarged tonsils often with white or yellow patches fever bad breath,44,1,0,0,0,0,0,0,0,0,0,0,1,True,partial_symptoms,8.0,True,0.6,
Tonsillitis,throat pain; painful swallowing; fever; swollen enlarged tonsils often with white or yellow patches,"['throat pain', 'painful swallowing', 'fever', 'swollen enlarged tonsils often with white or yellow patches']",4,throat pain painful swallowing fever swollen enlarged tonsils often with white or yellow patches,44,1,0,0,0,0,0,0,0,0,0,0,1,True,partial_symptoms,8.0,True,0.7,
Tonsillitis,fever; swollen enlarged tonsils often with white or yellow patches; painful swallowing; throat pain,"['fever', 'swollen enlarged tonsils often with white or yellow patches', 'painful swallowing', 'throat pain']",4,fever swollen enlarged tonsils often with white or yellow patches painful swallowing throat pain,44,1,0,0,0,0,0,0,0,0,0,0,1,True,partial_symptoms,8.0,True,0.8,
Gastroenteritis (Stomach Flu),watery diarrhea; dehydration risk; vomiting; low grade fever,"['watery diarrhea', 'dehydration risk', 'vomiting', 'low grade fever']",4,watery diarrhea dehydration risk vomiting low grade fever,16,0,0,1,0,0,0,0,0,0,0,0,1,True,partial_symptoms,9.0,True,0.6,
Gastroenteritis (Stomach Flu),muscle aches; dehydration risk; watery diarrhea; abdominal cramps,"['muscle aches', 'dehydration risk', 'watery diarrhea', 'abdominal cramps']",4,muscle aches dehydration risk watery diarrhea abdominal cramps,16,0,0,1,0,0,0,1,0,0,0,0,2,True,partial_symptoms,9.0,True,0.7,
Gastroenteritis (Stomach Flu),nausea; abdominal cramps; muscle aches; low grade fever; watery diarrhea,"['nausea', 'abdominal cramps', 'muscle aches', 'low grade fever', 'watery diarrhea']",5,nausea abdominal cramps muscle aches low grade fever watery diarrhea,16,0,0,1,0,0,0,1,0,0,0,0,2,True,partial_symptoms,9.0,True,0.8,
Food Poisoning,fever; severe abdominal cramps; diarrhea  may be bloody depending on cause; vomiting,"['fever', 'severe abdominal cramps', 'diarrhea  may be bloody depending on cause', 'vomiting']",4,fever severe abdominal cramps diarrhea  may be bloody depending on cause vomiting,13,0,0,1,0,0,0,0,0,1,0,0,1,True,partial_symptoms,10.0,True,0.6,
Food Poisoning,diarrhea  may be bloody depending on cause; dehydration; sudden nausea; fever,"['diarrhea  may be bloody depending on cause', 'dehydration', 'sudden nausea', 'fever']",4,diarrhea  may be bloody depending on cause dehydration sudden nausea fever,13,0,0,1,0,0,0,0,0,1,0,0,1,True,partial_symptoms,10.0,True,0.7,
Food Poisoning,severe abdominal cramps; fever; diarrhea  may be bloody depending on cause; sudden nausea; vomiting,"['severe abdominal cramps', 'fever', 'diarrhea  may be bloody depending on cause', 'sudden nausea', 'vomiting']",5,severe abdominal cramps fever diarrhea  may be bloody depending on cause sudden nausea vomiting,13,0,0,1,0,0,0,0,0,1,0,0,1,True,partial_symptoms,10.0,True,0.8,
Gastritis,belching; vomiting; loss of appetite; sometimes dark tarry stools if bleeding,"['belching', 'vomiting', 'loss of appetite', 'sometimes dark tarry stools if bleeding']",4,belching vomiting loss of appetite sometimes dark tarry stools if bleeding,15,0,0,1,0,0,0,0,0,0,0,0,1,True,partial_symptoms,11.0,True,0.6,
Gastritis,sometimes dark tarry stools if bleeding; nausea; loss of appetite; upper abdominal pain or burning,"['sometimes dark tarry stools if bleeding', 'nausea', 'loss of appetite', 'upper abdominal pain or burning']",4,sometimes dark tarry stools if bleeding nausea loss of appetite upper abdominal pain or burning,15,0,0,1,0,0,0,0,0,0,0,0,1,True,partial_symptoms,11.0,True,0.7,
Gastritis,belching; vomiting; sometimes dark tarry stools if bleeding; bloating; loss of appetite,"['belching', 'vomiting', 'sometimes dark tarry stools if bleeding', 'bloating', 'loss of appetite']",5,belching vomiting sometimes dark tarry stools if bleeding bloating loss of appetite,15,0,0,1,0,0,0,0,0,0,0,0,1,True,partial_symptoms,11.0,True,0.8,
Peptic Ulcer Disease,bloating; possible vomiting or gi bleeding; nausea,"['bloating', 'possible vomiting or gi bleeding', 'nausea']",3,bloating possible vomiting or gi bleeding nausea,34,0,0,1,0,0,0,0,0,0,0,0,1,True,partial_symptoms,12.0,True,0.6,
Peptic Ulcer Disease,possible vomiting or gi bleeding; nausea; bloating,"['possible vomiting or gi bleeding', 'nausea', 'bloating']",3,possible vomiting or gi bleeding nausea bloating,34,0,0,1,0,0,0,0,0,0,0,0,1,True,partial_symptoms,12.0,True,0.7,
Peptic Ulcer Disease,burning or gnawing epigastric pain  better worse with meals depending on type; bloating; heartburn; nausea,"['burning or gnawing epigastric pain  better worse with meals depending on type', 'bloating', 'heartburn', 'nausea']",4,burning or gnawing epigastric pain  better worse with meals depending on type bloating heartburn nausea,34,0,1,1,0,0,0,0,0,0,0,0,2,True,partial_symptoms,12.0,True,0.8,
GERD (Acid Reflux),heartburn; acid regurgitation; sour taste; worse when lying down or after meals,"['heartburn', 'acid regurgitation', 'sour taste', 'worse when lying down or after meals']",4,heartburn acid regurgitation sour taste worse when lying down or after meals,14,0,1,0,0,0,0,0,0,0,0,0,1,True,partial_symptoms,13.0,True,0.6,
GERD (Acid Reflux),chest discomfort; acid regurgitation; worse when lying down or after meals; hoarseness,"['chest discomfort', 'acid regurgitation', 'worse when lying down or after meals', 'hoarseness']",4,chest discomfort acid regurgitation worse when lying down or after meals hoarseness,14,1,0,0,0,0,0,0,0,0,0,0,1,True,partial_symptoms,13.0,True,0.7,
GERD (Acid Reflux),hoarseness; sour taste; acid regurgitation; worse when lying down or after meals; chronic cough,"['hoarseness', 'sour taste', 'acid regurgitation', 'worse when lying down or after meals', 'chronic cough']",5,hoarseness sour taste acid regurgitation worse when lying down or after meals chronic cough,14,1,0,0,0,0,0,0,0,0,0,1,1,True,partial_symptoms,13.0,True,0.8,
Appendicitis,loss of appetite; nausea; worsening abdominal pain; fever,"['loss of appetite', 'nausea', 'worsening abdominal pain', 'fever']",4,loss of appetite nausea worsening abdominal pain fever,1,0,0,1,0,0,0,0,0,0,0,0,1,True,partial_symptoms,14.0,True,0.6,
Appendicitis,loss of appetite; periumbilical pain that migrates to right lower abdomen; nausea; worsening abdominal pain,"['loss of appetite', 'periumbilical pain that migrates to right lower abdomen', 'nausea', 'worsening abdominal pain']",4,loss of appetite periumbilical pain that migrates to right lower abdomen nausea worsening abdominal pain,1,0,0,1,0,0,0,0,0,0,0,0,1,True,partial_symptoms,14.0,True,0.7,
Appendicitis,nausea; fever; worsening abdominal pain; vomiting; periumbilical pain that migrates to right lower abdomen,"['nausea', 'fever', 'worsening abdominal pain', 'vomiting', 'periumbilical pain that migrates to right lower abdomen']",5,nausea fever worsening abdominal pain vomiting periumbilical pain that migrates to right lower abdomen,1,0,0,1,0,0,0,0,0,0,0,0,1,True,partial_symptoms,14.0,True,0.8,
Cholecystitis / Gallstones,sudden severe pain in right upper abdomen or right shoulder; tenderness over gallbladder; vomiting,"['sudden severe pain in right upper abdomen or right shoulder', 'tenderness over gallbladder', 'vomiting']",3,sudden severe pain in right upper abdomen or right shoulder tenderness over gallbladder vomiting,6,0,0,1,1,0,0,0,0,1,0,0,2,True,partial_symptoms,15.0,True,0.6,
Cholecystitis / Gallstones,tenderness over gallbladder; vomiting; fever; pain after fatty meals,"['tenderness over gallbladder', 'vomiting', 'fever', 'pain after fatty meals']",4,tenderness over gallbladder vomiting fever pain after fatty meals,6,0,0,1,1,0,0,0,0,0,0,0,2,True,partial_symptoms,15.0,True,0.7,
Cholecystitis / Gallstones,pain after fatty meals; vomiting; tenderness over gallbladder; nausea,"['pain after fatty meals', 'vomiting', 'tenderness over gallbladder', 'nausea']",4,pain after fatty meals vomiting tenderness over gallbladder nausea,6,0,0,1,1,0,0,0,0,0,0,0,2,True,partial_symptoms,15.0,True,0.8,
Hepatitis (viral),jaundice  yellowing of skin eyes; abdominal discomfort  right upper quadrant; dark urine; pale stools,"['jaundice  yellowing of skin eyes', 'abdominal discomfort  right upper quadrant', 'dark urine', 'pale stools']",4,jaundice  yellowing of skin eyes abdominal discomfort  right upper quadrant dark urine pale stools,19,0,0,1,1,0,1,0,0,0,0,0,3,True,partial_symptoms,16.0,True,0.6,
Hepatitis (viral),dark urine; loss of appetite; fatigue; pale stools,"['dark urine', 'loss of appetite', 'fatigue', 'pale stools']",4,dark urine loss of appetite fatigue pale stools,19,0,0,1,1,0,0,0,1,0,0,0,3,True,partial_symptoms,16.0,True,0.7,
Hepatitis (viral),jaundice  yellowing of skin eyes; fatigue; abdominal discomfort  right upper quadrant; loss of appetite; dark urine,"['jaundice  yellowing of skin eyes', 'fatigue', 'abdominal discomfort  right upper quadrant', 'loss of appetite', 'dark urine']",5,jaundice  yellowing of skin eyes fatigue abdominal discomfort  right upper quadrant loss of appetite dark urine,19,0,0,1,1,0,1,0,1,0,0,0,4,True,partial_symptoms,16.0,True,0.8,
Pancreatitis,nausea; severe constant upper abdominal pain radiating to the back; rapid pulse,"['nausea', 'severe constant upper abdominal pain radiating to the back', 'rapid pulse']",3,nausea severe constant upper abdominal pain radiating to the back rapid pulse,32,0,0,1,0,0,0,1,0,1,0,0,2,True,partial_symptoms,17.0,True,0.6,
Pancreatitis,vomiting; nausea; severe constant upper abdominal pain radiating to the back; fever,"['vomiting', 'nausea', 'severe constant upper abdominal pain radiating to the back', 'fever']",4,vomiting nausea severe constant upper abdominal pain radiating to the back fever,32,0,0,1,0,0,0,1,0,1,0,0,2,True,partial_symptoms,17.0,True,0.7,
Pancreatitis,fever; severe constant upper abdominal pain radiating to the back; rapid pulse; abdominal tenderness,"['fever', 'severe constant upper abdominal pain radiating to the back', 'rapid pulse', 'abdominal tenderness']",4,fever severe constant upper abdominal pain radiating to the back rapid pulse abdominal tenderness,32,0,0,1,0,0,0,1,0,1,0,0,2,True,partial_symptoms,17.0,True,0.8,
Urinary Tract Infection (UTI),small amounts of urine; lower abdominal pelvic pain; burning or dysuria,"['small amounts of urine', 'lower abdominal pelvic pain', 'burning or dysuria']",3,small amounts of urine lower abdominal pelvic pain burning or dysuria,46,0,0,1,1,0,0,0,0,0,0,0,2,True,partial_symptoms,18.0,True,0.6,
Urinary Tract Infection (UTI),small amounts of urine; burning or dysuria; lower abdominal pelvic pain; cloudy or strong smelling urine,"['small amounts of urine', 'burning or dysuria', 'lower abdominal pelvic pain', 'cloudy or strong smelling urine']",4,small amounts of urine burning or dysuria lower abdominal pelvic pain cloudy or strong smelling urine,46,0,0,1,1,0,0,0,0,0,0,0,2,True,partial_symptoms,18.0,True,0.7,
Urinary Tract Infection (UTI),frequent urge to urinate; burning or dysuria; sometimes hematuria; lower abdominal pelvic pain,"['frequent urge to urinate', 'burning or dysuria', 'sometimes hematuria', 'lower abdominal pelvic pain']",4,frequent urge to urinate burning or dysuria sometimes hematuria lower abdominal pelvic pain,46,0,0,1,1,0,0,0,0,0,0,0,2,True,partial_symptoms,18.0,True,0.8,
Pyelonephritis (Kidney Infection),flank  side  or back pain; high fever; chills; cloudy or bloody urine,"['flank  side  or back pain', 'high fever', 'chills', 'cloudy or bloody urine']",4,flank  side  or back pain high fever chills cloudy or bloody urine,36,0,0,0,1,0,0,1,0,1,0,0,2,True,partial_symptoms,19.0,True,0.6,
Pyelonephritis (Kidney Infection),flank  side  or back pain; cloudy or bloody urine; painful frequent urination; nausea vomiting,"['flank  side  or back pain', 'cloudy or bloody urine', 'painful frequent urination', 'nausea vomiting']",4,flank  side  or back pain cloudy or bloody urine painful frequent urination nausea vomiting,36,0,0,1,1,0,0,1,1,0,0,0,4,True,partial_symptoms,19.0,True,0.7,
Pyelonephritis (Kidney Infection),painful frequent urination; malaise; chills; nausea vomiting; cloudy or bloody urine,"['painful frequent urination', 'malaise', 'chills', 'nausea vomiting', 'cloudy or bloody urine']",5,painful frequent urination malaise chills nausea vomiting cloudy or bloody urine,36,0,0,1,1,0,0,0,1,0,0,0,3,True,partial_symptoms,19.0,True,0.8,
Kidney Stones,hematuria; nausea; pain comes in waves,"['hematuria', 'nausea', 'pain comes in waves']",3,hematuria nausea pain comes in waves,25,0,0,1,0,0,0,0,0,0,0,0,1,True,partial_symptoms,20.0,True,0.6,
Kidney Stones,sudden severe flank or abdominal pain that may radiate to groin; hematuria; vomiting; nausea,"['sudden severe flank or abdominal pain that may radiate to groin', 'hematuria', 'vomiting', 'nausea']",4,sudden severe flank or abdominal pain that may radiate to groin hematuria vomiting nausea,25,0,0,1,0,0,0,0,0,1,0,0,1,True,partial_symptoms,20.0,True,0.7,
Kidney Stones,vomiting; pain comes in waves; hematuria; sudden severe flank or abdominal pain that may radiate to groin,"['vomiting', 'pain comes in waves', 'hematuria', 'sudden severe flank or abdominal pain that may radiate to groin']",4,vomiting pain comes in waves hematuria sudden severe flank or abdominal pain that may radiate to groin,25,0,0,1,0,0,0,0,0,1,0,0,1,True,partial_symptoms,20.0,True,0.8,
Chlamydia Infection,abnormal genital discharge; in women can cause bleeding between periods; often asymptomatic,"['abnormal genital discharge', 'in women can cause bleeding between periods', 'often asymptomatic']",3,abnormal genital discharge in women can cause bleeding between periods often asymptomatic,5,0,0,0,1,0,0,0,0,0,0,0,1,True,partial_symptoms,21.0,True,0.6,
Chlamydia Infection,often asymptomatic; pain during intercourse; burning during urination; in women can cause bleeding between periods,"['often asymptomatic', 'pain during intercourse', 'burning during urination', 'in women can cause bleeding between periods']",4,often asymptomatic pain during intercourse burning during urination in women can cause bleeding between periods,5,0,0,0,1,0,0,0,1,0,0,0,2,True,partial_symptoms,21.0,True,0.7,
Chlamydia Infection,pelvic pain; often asymptomatic; pain during intercourse; burning during urination,"['pelvic pain', 'often asymptomatic', 'pain during intercourse', 'burning during urination']",4,pelvic pain often asymptomatic pain during intercourse burning during urination,5,0,0,0,1,0,0,0,1,0,0,0,2,True,partial_symptoms,21.0,True,0.8,
Gonorrhea,increased vaginal bleeding; dysuria; sometimes throat pain if oral exposure,"['increased vaginal bleeding', 'dysuria', 'sometimes throat pain if oral exposure']",3,increased vaginal bleeding dysuria sometimes throat pain if oral exposure,18,1,0,0,0,0,0,0,0,0,0,0,1,True,partial_symptoms,22.0,True,0.6,
Gonorrhea,genital discharge  purulent; pelvic pain; dysuria; sometimes throat pain if oral exposure,"['genital discharge  purulent', 'pelvic pain', 'dysuria', 'sometimes throat pain if oral exposure']",4,genital discharge  purulent pelvic pain dysuria sometimes throat pain if oral exposure,18,1,0,0,1,0,0,0,0,0,0,0,2,True,partial_symptoms,22.0,True,0.7,
Gonorrhea,pelvic pain; dysuria; genital discharge  purulent; sometimes throat pain if oral exposure,"['pelvic pain', 'dysuria', 'genital discharge  purulent', 'sometimes throat pain if oral exposure']",4,pelvic pain dysuria genital discharge  purulent sometimes throat pain if oral exposure,18,1,0,0,1,0,0,0,0,0,0,0,2,True,partial_symptoms,22.0,True,0.8,
Syphilis,secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy; latent tertiary  organ damage if untreated,"['secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy', 'latent tertiary  organ damage if untreated']",2,secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy latent tertiary  organ damage if untreated,41,0,0,0,0,0,1,0,0,0,0,0,1,True,partial_symptoms,23.0,True,0.6,
Syphilis,latent tertiary  organ damage if untreated; secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy,"['latent tertiary  organ damage if untreated', 'secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy']",2,latent tertiary  organ damage if untreated secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy,41,0,0,0,0,0,1,0,0,0,0,0,1,True,partial_symptoms,23.0,True,0.7,
Syphilis,secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy; latent tertiary  organ damage if untreated,"['secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy', 'latent tertiary  organ damage if untreated']",2,secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy latent tertiary  organ damage if untreated,41,0,0,0,0,0,1,0,0,0,0,0,1,True,partial_symptoms,23.0,True,0.8,
